english
@siddhinath @aditi_tyagi @zeenews @paritoshchoubey issme naya kya hai vote bank ki rajniti ki wajh hai insan ab insan nahi sirf vote bank
 @sudhirchaudhary: yes i read abt it in some kashmiri newspapers.gurez ppl r being threatened&forced to change their statements on zee ht…
 @ani_news: #munich police says on facebook that eyewitnesses are reporting   different people with weapons: reuters
@cbinewton @rranjan_in @daringdeepa @manoramash @manakgupta itna asan nahi hai isska khatma puri dunia ko ladna padega or secular se umd na
 @therahulmahajan: #istandwithswatisingh because she reminds me of  jhansi ki rani laxmi bai 🙏🏼
@iambmane @rn_bjp public ka manoranjan to karta hai kam se kam
 @legalkant: now @bdutt will say that islamist jihadi was killed in an extra judicial killing !! #munich #radicalislam  
@lawyerisbad @rn_bjp   ko rasta bhula bhi diya :(
sahi kaha sir jo khabar dabaye jaye wahi khabar warna   page ka dehli ka add up me ata hai #kashmirkijeet
@murlidhar  @sudhirchaudhary  saal me kitna badal gaya mera desh
@sardanarohit waha syad vote bank nahi #kashmirkijeet ummed karta hu halat badlenge naya savera ayga
@amitrawattv @sardanarohit @rahulsinhazee waha votebank nahi hai isliye nahi jayga koi bhi
#kashmirkijeet we r with you
" @ggiittiikkaa: wife, daughter of dayashankar paying for silence on 'prostitute' comment: mayawati  jai ho devi. golden words from  -time…"
@ashiquotes @rn_bjp when vote bank is more imp than country than it is nothing as compair with that
" @ashiquotes: nasimuddin siddiqui of bsp today broke the myth that bsp is better than sp for them, vote bank is important than law/order…"
@rn_bjp janmat sangrah karwane me burai nahi lekin wo pure desh ka hoga sare deshwasi tay karenge sirf kashmiri nahi
@sureshpprabhu @narendramodi all the best
 @babu_bhaiyaa: new lead actors in peepli live-    
@alkaagarwal  @rn_bjp @apravasi mam iss per kya likhu per majburi me pahla kam hota hai or dusra maje me
 @sirjadejaaaa: salute to brave journalists @sudhirchaudhary @sardanarohit @rahulsinhazee for showing us #aslikashmir. reality matters.…
@sudip  @sudhirchaudhary we know no one will be there
 @sudip : another open challenge from @sudhirchaudhary ... let's see who visits kashmir #jaihindkashmir
#jaihindkashmir is trending top   gud ap @sudhirchaudhary sir safal huye sabhi desh bhakt apke sath hai
@rohitkrsh @sudhirchaudhary @sardanarohit @rahulsinhazee @zeenews screen black karke baithe hai
@sudhirchaudhary  @zeenews political yatra sahi pakda hai nautankibajo apne hehehe jagab
#jaihindkashmir top three @sudhirchaudhary @rahulsinhazee both rocks and some shocks  
aaj ki news dekhne ke bad @sudhirchaudhary sir kuch logo apni channel kala jarur karenge
#jaihindkashmir #savekashmiriindain
liye #savekashmiriindian
@sudhirchaudhary @zeenews apki himmat ki dat deta hu sir dhamki ke bad bhi ap ruke nahi or mai bhi cg or sg se req karta hu unki suracha ke
@girirajsinghbjp gr  news
" @nupursharmabjp: .@arvindkejriwal- the same man who rewarded nirbhaya's rapist/murderer with ₹ k & sewing machine asked soni to ""compro…"
@kalrajmishra @yogi_adityanath @bjpforup @bjp india @bjplive @yuvaitv @bjpsamvad @adityanath_ji @amarujalanews nice
 @narendramodi: emphasised on why india’s development journey must benefit our neighbours & rich potential of india-bangladesh ties.  
@sudhirchaudhary ham sab apke sath hai sir #jaihindkashmir
" @supatravel_guru: @bharat manthan on twitter: ""awesome rail. is it general or luxury coach? jai ho @sureshpprabhu @sv  @hindurajy… h…"
@sudhirchaudhary  day i missed but after reading twt feeling happy gud job sir @rahulsinhazee keep it up
 @drgpradhan: @rahulsinhazee needs a salute for his brave and factual reporting  he is a journalist class apa  #kashmirkids  
@smitaprakash @hafizsaeednow gud ans
 @smitaprakash: you will lose weight. that's the only outcome.  
