title,reldate,ageres,cover,plot,trailers,duration,likes,name
John Wick: Chapter 3 - Parabellum,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/john-wick-chapter-3-et00077201-07-06-2018-01-13-41.jpg,"In the third installment of the John Wick series, John must fight his way out of New York after a $14 million global contract is put out on his life following his killing of a High Table member.",N/A,N/A,20870,John Wick: Chapter 3 - Parabellum
The Sun Is Also A Star,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/the-sun-is-also-a-star-et00095270-30-01-2019-06-11-44.jpg,"""What if I told you I could get you to fall in love with me...?"" ",N/A,N/A,1549,The Sun Is Also A Star
Mr. Local,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/mr-local-et00096915-19-02-2019-03-29-00.jpg,"Mr. Local is a Tamil movie starring Sivakarthikeyan, Nayanthara and Radhika Sarathkumar in prominent roles. It is a drama directed by Rajesh.M.",N/A,N/A,12417,Mr. Local
Arjun Suravaram,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/arjun-suravaram-et00095605-04-02-2019-08-02-38.jpg,"When he is wrongly convicted for swindling banks with fake certificates, an investigative journalist sets out to prove his innocence and take down the dangerous counterfeiting racket behind the crime. Directed by T.N. Santhosh, Arjun Suravaram stars Nikhil Siddharth and Lavanya Tripathi in central roles.",N/A,N/A,13177,Arjun Suravaram
ABCD: American Born Confused Desi,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/abcd-american-born-confused-desi-et00094356-18-01-2019-12-13-02.jpg,"Born into an NRI family in USA, Avi is a spoilt brat who spends his time being lazy and extravagant. Fed up by Avi`s irresponsibility, his father decides to teach him a lesson or two and sends him along with his  best buddy to India.",N/A,N/A,5640,ABCD: American Born Confused Desi
Rampaat,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/rampaat-et00099515-25-03-2019-11-55-47.jpg,"Aspiring for instant fame and fortune, Mithun from Solapur and Munni from Kolhapur travel to Mumbai, where the bittersweet struggle of their journey to accomplish their dreams begins. The wisdom they gain from their troubles will teach these youngsters to  work harder and hustle for an ""all-time hit"" rather than a ""one-time hit"".",N/A,N/A,191,Rampaat
Ratnamanjarii,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ratnamanjarii-et00100380-08-04-2019-11-05-29.jpg,"A botanist with photographic memory is intrigued by a recurring nightmare and decides to dig deeper to see if there is any truth to it. He soon finds himself on the cusp of solving a murder mystery. Directed by Prasiddh, Ratnamanjarii stars Raj Charan and Akhila Prakash in the lead roles.",N/A,N/A,5294,Ratnamanjarii
Gangstar vs State,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/gangstar-vs-state-et00100060-02-04-2019-06-25-21.jpg,"Gangstar vs State is a Punjabi movie starring Mantej Mann, Sunakshi Sharma and Amrit Randhaw in prominent roles. It is a drama directed by Alam Gahir.",N/A,N/A,198,Gangstar vs State
Bhoot Chaturdashi,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/bhoot-chaturdashi-et00101322-23-04-2019-10-48-30.jpg,Four youngsters head out to an abandoned house to shoot a documentary. What starts off as a regular fun road trip slowly becomes a dangerously haunting experience as a series of strange and unfortunate events start happening to them. Can they survive this nightmare?,N/A,N/A,112,Bhoot Chaturdashi
Wrong Number,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/wrong-number-bengali-et00101022-17-04-2019-04-38-58.jpg,"Sandy is an idle youngster who hails from a rich family and dreams of becoming a popular musician. His roommate Joy is a part-time teacher who comes from a middle-class family and aspires to become a writer. When a song penned by Joy and sung by Sandy becomes a YouTube hit, a literature student named Deya and her friend Shruti take an interest in the men. ",N/A,N/A,106,Wrong Number
Chhoriyan Chhoron Se Kam Nai Hoti,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/chhoriyan-chhoron-se-kam-nai-hoti-et00101275-22-04-2019-06-59-48.jpg,Chhoriyan Chhoron Se Kam Nai Hoti is a Haryanvi drama directed by Rajesh A Babbar.,N/A,N/A,18,Chhoriyan Chhoron Se Kam Nai Hoti
India's Most Wanted,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/india-s-most-wanted-et00075580-11-05-2018-11-35-33.jpg,The film follows a group of intelligence officers who embark on a top secret mission to track down a wanted international criminal.,N/A,N/A,1593,India's Most Wanted
Aladdin,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/aladdin-2018-et00086118-11-10-2018-04-28-34.jpg,"A thrilling and vibrant live-action adaptation of Disney's animated classic, ""Aladdin"" is the exciting tale of the charming street rat Aladdin, the courageous and self-determined Princess Jasmine and the Genie who may be the key to their future.",N/A,N/A,27663,Aladdin
Chaturnath,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/chaturnath-et00100037-02-04-2019-03-16-51.jpg,"Chaturnath is an everyman who is fed up with the corruption in the society. Wanting to make a change for the better, he dons the lawyer`s gown and soon becomes the messiah of the downtrodden.",N/A,N/A,111,Chaturnath
Ad Astra,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ad-astra-et00069912-29-01-2018-10-04-01.jpg,"More than two decades after Clifford McBride went missing while on a mission in search of extraterrestrial intelligence, his son and Army Corps engineer Roy McBride sets out on a galactic quest to find him.",N/A,N/A,2696,Ad Astra
Kolaigaran,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/kolaigaran-et00077113-06-06-2018-09-52-11.jpg,"A man on a murder spree meets his match in a brilliant police officer, and a cat-and-mouse game ensues. But is there a method to the killer`s madness? Directed by Andrew Louis, Kolaigaran stars Arjun Sarja and Vijay Antony in the lead roles.",N/A,N/A,5734,Kolaigaran
Burra Katha,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/burra-katha-et00100714-11-04-2019-05-51-20.jpg,Burra Katha is a Telugu movie starring Aadi Saikumar in a prominent role. It is a drama directed by Ratna Babu,N/A,N/A,28,Burra Katha
Judgement,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/judgement-et00100005-02-04-2019-12-48-31.jpg,"Based on Nila Satyanarayan`s novel `Runn`, the story revolves around a maniac IAS officer, who tortures his wife with the disappointment upon having two girl children and no son. Tragedy befalls when the woman is found dead while she undergoes an illegal fetus test in her third pregnancy. She is survived by her father and two daughters, one of which grows up to become an advocate and gets the case reopened to fight for justice for her mother.  Will Justice prevail?",N/A,N/A,49,Judgement
D/O Parvathamma,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/parvathamma-et00093357-03-01-2019-06-20-39.jpg,"An investigative officer Vaidehi is investigating a sensational and challenging murder case, which has many layers. Will Vaidehi be able to crack this case or just end up landing in various adventures?",N/A,N/A,1860,D/O Parvathamma
Rakshapurushan,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/rakshapurushan-et00101263-22-04-2019-04-14-18.jpg,"The story of Rakshapurushan revolves around Stephen, an honest man whose life descends into chaos after he loses everything dear to him in the battle against a corrupt system. Will Stephen be able to redeem himself and conquer the forces of evil that brought him down?",N/A,N/A,23,Rakshapurushan
Muklawa,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/muklawa-et00100305-05-04-2019-04-26-09.jpg,"Back in the days, tradition dictated that a newlywed woman should stay back at her parents` house for a while after her wedding. It was  forbidden for the groom to even enter the bride`s village during this period, let alone meet her. Muklawa is the story of a man who sets out to romance his own wife - in an era where life was simple, but love was difficult!",N/A,N/A,625,Muklawa
Chandigarh Amritsar Chandigarh,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/chandigarh-amritsar-chandigarh-et00100758-12-04-2019-01-46-42.jpg,"While on a trip from Chandigarh to Amritsar to sabotage her own wedding, a woman crosses paths with a stranger, and the two end up spending the day together despite their differences. Despite their apparent differences, will the strange chemistry they share lead to something more meaningful?",N/A,N/A,349,Chandigarh Amritsar Chandigarh
Durgeshgorer Guptodhon,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/durgeshgorer-guptodhon-et00093125-31-12-2018-02-45-38.jpg,"Sona da with Abir and Jhinuk embarks on his new adventure, a quest that will take them to the legendary Durgeshgor. The journey reveals that the Debroy family, the erstwhile zamindars in their princely mansion hold the key to a presumed rumor of a treasure connected with Plassey. With an amazing vibrant backdrop of Durga Puja in the princely Debroy mansion where the trio is invited for the occasion, one after the other clues are revealed testing Sona da`s wit and grit one more time leading towards the discovery of one of greatest treasures Bengal has ever witnessed.",N/A,N/A,1586,Durgeshgorer Guptodhon
Godzilla 2: King of the Monsters,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/godzilla-2-et00052615-24-01-2017-08-34-49.jpg,"Following the global success of ""Godzilla"" and ""Kong: Skull Island"" comes the next chapter in Warner Bros. Pictures` and Legendary Pictures` cinematic Monster Verse: ""Godzilla: King of the Monsters, ""an epic action-adventure that pits Godzilla against some of the most popular monsters in pop culture history.",N/A,N/A,28139,Godzilla 2: King of the Monsters
MA,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ma-et00096700-15-02-2019-03-39-43.jpg,"MA is an English movie starring Missi Pyle, Luke Evans and Juliette Lewis in prominent roles. It is a drama directed by Tate Taylor with Jason Blum as producer, forming part of the crew.",N/A,N/A,495,MA
Rocketman,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/rocketman-et00077538-13-06-2018-03-02-29.jpg,"An intimate portrait of the life and times of English musician Elton John, from his early years at the Royal Academy of Music to his ascension as a legendary artist and cultural icon.",N/A,N/A,1286,Rocketman
NGK,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ngk-et00071916-05-03-2018-05-57-41.jpg,"Nandha Gopalan Kumaran (NGK), a charismatic young man, embarks on a political journey that brings about an unprecedented socio-political revolution. Directed by ace filmmaker K. Selvaraghavan, NGK stars Suriya Sivakumar in the titular role.",N/A,N/A,29442,NGK
Devi 2,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/devi-2-et00101597-26-04-2019-12-03-00.jpg,"Devi 2 is a Tamil movie starring Prabhu Deva, Tamannaah Bhatia, Nandita Swetha and Sonu Sood  in prominent roles. It is a horror directed by A. L. Vijay. ",N/A,N/A,96,Devi 2
Dear Comrade,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/dear-comrade-et00075421-09-05-2018-12-13-20.jpg,Dear Comrade is a Telugu movie starring Vijay Deverakonda in a prominent role. It is an action drama directed by Bharat Kamma.,N/A,N/A,26714,Dear Comrade
BaBo,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/babo-et00099853-29-03-2019-05-35-00.jpg,"BaBo is a Marathi movie starring Sayaji Shinde, Kishore Kadam and Bharat Ganeshpure in prominent roles. It is a  drama directed by Ramesh Chaudhary, with Sachin Baburao Pawar and Trupti Sachin Pawar as the producer, forming part of the crew.",N/A,N/A,88,BaBo
Andolan,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/andolan-bhoj-et00100942-16-04-2019-02-56-32.jpg,"Adarsh is an honest journalist who believes in the axiom that the pen is mightier than the sword. His crusade against various social evils makes him the target of several powerful, corrupted men and ultimately leads to a tragedy in Adarsh`s life. How Adarsh exacts his revenge on them forms the crux of the story of Andolan.",N/A,N/A,32,Andolan
Bharat,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/bharat-et00068351-28-12-2017-04-24-35.jpg,"When he was eight years old, Bharat made a promise to his father: to keep the family together no matter what. It`s a promise he keeps over the next 60 years of his life, despite each decade throwing a new set of challenges at him: some humorous, some thrilling and a few even dangerous! ",N/A,N/A,15271,Bharat
Rakshasudu,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/rakshasudu-et00101842-30-04-2019-06-19-17.jpg,"Arun, a newly recruited sub-inspector, sets out in pursuit of a mysterious serial killer who targets teen girls and murders them brutally. His hunt for the psychopath will come at a price, but nothing will stop Arun from ending the killer`s vicious murder spree.",N/A,N/A,11,Rakshasudu
Dastaan E Miri Piri,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/dastaan-e-miri-piri-et00087303-27-10-2018-04-02-19.jpg,"Dastaan E Miri Piri is a Punjab movie. It is an animation directed by Vinod Lanjewar with Gurjot Singh Ahluwalia as writer, forming part of the crew.",N/A,N/A,857,Dastaan E Miri Piri
Kidnap,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/kidnapbengali-et00096632-14-02-2019-03-47-44.jpg,"After stumbling across illegal activities in a shady pub, a photojournalist finds her life in jeopardy. The only person standing between the criminal racket and her is a youngster who is a singer at the pub. Can he save her from the imminent danger?",N/A,N/A,254,Kidnap
 X-Men: Dark Phoenix,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/x-men-dark-phoenix-et00058524-16-06-2017-11-21-55.jpg,"This is the story of one of the X-Men`s most beloved characters, Jean Grey, as she evolves into the iconic DARK PHOENIX.  During a life-threatening rescue mission in space, Jean is hit by a cosmic force that transforms her into one of the most powerful mutants of all.  Wrestling with this increasingly unstable power as well as her own personal demons, Jean spirals out of control, tearing the X-Men family apart and threatening to destroy the very fabric of our planet.  The film is the most intense and emotional X-Men movie ever made. It is the culmination of 20 years of X-Men movies, as the family of mutants that we`ve come to know and love must face their most devastating enemy yet -- one of their own.",N/A,N/A,63544,X-Men: Dark Phoenix
Mogra Phulaalaa,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/mogra-phulaalaa-et00097165-22-02-2019-10-26-45.jpg,"Mogra Phulaalaa chronicles the story of a man who has dedicated all his life attending to the well-being of his family, and forgot to take care of his personal life along the way. The events that unfold after he meets the woman of his dreams forms the crux of the film.",N/A,N/A,34,Mogra Phulaalaa
Mental Hai Kya,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/mental-hai-kya-et00071872-05-03-2018-10-17-18.jpg,"Mental Hai Kya is a Hindi movie starring Kangana Ranaut and Rajkummar Rao in prominent roles. It is a drama directed by Prakash Kovelamudi with Ekta Kapoor as producer, forming part of the crew.",N/A,N/A,10566,Mental Hai Kya
Toy Story 4,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/toy-story-4-et00046525-16-09-2016-01-23-38.jpg,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",N/A,N/A,16679,Toy Story 4
Miracle,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/miracle-et00100135-03-04-2019-04-29-21.jpg,"What if Veerappan came back from the dead in the guise of an IPS officer? The plot revolves around a celebrity couple Mrs Lilitha and Harman Shergill who are serving as an IAS and IPS officers respectively. Shockingly, the wife kills the husband in a felicitation function in the presence of VIPs. Will she be proven guilty in court?",N/A,N/A,615,Miracle
Kabir Singh,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/arjun-reddy-et00080853-31-07-2018-04-53-00.jpg,A brilliant yet impulsive young surgeon falls into a path of self-destruction after the love of his life is forced to marry another man.,N/A,N/A,6171,Kabir Singh
Shadaa,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/shadaa-et00082402-24-08-2018-11-12-16.jpg,Shadaa is a Punjabi movie starring Diljit Dosanjh and Neeru Bajwa in prominent roles. It is a drama directed by Jagdeep Sidhu.,N/A,N/A,1272,Shadaa
Drive,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/drive-et00054134-01-03-2017-02-56-36.jpg,Drive is a Hindi movie starring Sushant Singh Rajput and Jacqueline Fernandes in prominent roles. It is an action-thriller adventure directed by Tarun Mansukhani.,N/A,N/A,13412,Drive
Annabelle Comes Home,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/annabelle-comes-home-et00099889-31-03-2019-10-15-19.jpg,"Paranormal investigators Ed and Lorraine Warren keep a possessed doll locked up in an artifacts room in their house. When the doll awakens the room's evil spirits, it soon becomes a night of terror for the couple's young daughter and her friends.",N/A,N/A,6202,Annabelle Comes Home
Takatak,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/takatak-et00100381-08-04-2019-11-07-36.jpg,"Takatak is a Marathi movie starring Prathamesh Parab, Ritika Shrotri, Abhijit Amkar and Pranali Bhalerao in prominent roles. It is a drama directed by Milind Kavde.",N/A,N/A,36,Takatak
Adham,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/adham-et00096973-20-02-2019-10-00-23.jpg,"Orphaned as a child, Vicky was raised by Anna Bhosale, the ring leader of a mining mafia operating around Pune. For years now, he has served as the trusted henchman of Anna, crushing anyone who stands in the way of his godfather`s interests.",N/A,N/A,42,Adham
Manaroopa,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/manaroopa-et00100786-12-04-2019-06-32-22.jpg,"A group of college friends plan their reunion in the dense forests of Western Ghats, where they hope to unwind in the grandeur of nature. As they journey to the fabled Karadi Guhe (Bear`s Cave) inside the forest, they bond over old memories and share their dreams for the future. ",N/A,N/A,46,Manaroopa
Mindo Taseeldarni,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/mindo-taseeldarni-et00089432-28-11-2018-12-55-15.jpg,Mindo Taseeldarni is a Punjabi movie starring Kavita Kaushik in a prominent role. It is a drama directed by Avtar Singh.  ,N/A,N/A,157,Mindo Taseeldarni
Satellite Shankar,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/satellite-shankar-et00083016-03-09-2018-12-33-19.jpg,Satellite Shankar is a Hindi movie starring Sooraj Pancholi in a prominent role. It is a drama directed by Irfan Kamal.,N/A,N/A,487,Satellite Shankar
Spider-Man: Far From Home,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/spider-man-far-from-home-et00078437-25-06-2018-02-54-59.jpg,After the events of the untitled Avengers film Peter Parker and his friends go on summer vacation to Europe and there Peter finds himself trying to save his friends against a villain known as Mysterio.,N/A,N/A,37157,Spider-Man: Far From Home
Jabariya Jodi,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/shotgun-shaadi-et00075290-07-05-2018-04-07-40.jpg,"Based on groom kidnappings in Bihar, where the groom is kidnapped to avoid dowry, the film has Siddharth Malhotra playing a thug who helps kidnap grooms. It also features Parineeti Chopra in a prominent role.",N/A,N/A,2362,Jabariya Jodi
Jai Mummy Di,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/jai-mummy-di-et00096771-18-02-2019-12-04-28.jpg,"Jai Mummy Di is a light-hearted family comedy revolving around two mothers and their kids. What follows is how these kids deal with their mommy issues, which leads to utter chaos.",N/A,N/A,79,Jai Mummy Di
A Biopic from the Film Industry,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/a-biopic-from-the-film-industry-et00100130-03-04-2019-04-13-11.jpg,A simple girl from Punjab comes to the big city with dreams in her eyes. The plot revolves around her struggle to stardom and how she handles her success once she reaches the top.,N/A,N/A,72,A Biopic from the Film Industry
Top Gun: Maverick,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/top-gun-maverick-et00076943-04-06-2018-03-03-27.jpg,"Over three decades after the action drama Top Gun released in 1986, Tom Cruise reprises his role of Pete ""Maverick"" Mitchell in the second installment of the Top Gun series - Top Gun: Maverick in 2019 written by Peter Craig.",N/A,N/A,3018,Top Gun: Maverick
Jaddi Sardar,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/jaddi-sardar-et00100660-11-04-2019-12-27-03.jpg,"Jaddi Sardar is a Punjabi movie starring Sippy Gill, Dilpreet Dhillon and Guggu Gill in prominent roles. It is a drama directed by Manbhavan Singh.",N/A,N/A,24,Jaddi Sardar
The Lion King,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/the-lion-king-2019-et00089130-23-11-2018-01-42-40.jpg,"""The Lion King"" journeys to the African savanna where a future king must overcome betrayal and tragedy to assume his rightful place on Pride Rock.",N/A,N/A,14073,The Lion King
Pal Pal Dil Ke Paas,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/pal-pal-dil-ke-paas-et00096630-14-02-2019-03-40-34.jpg,"Pal Pal Dil Ke Paas is a Hindi movie starring Karan Deol in prominent roles. It is a drama directed by Sunny Deol.If you are a representative of the production house, please share the details of the film with [email protected]",N/A,N/A,341,Pal Pal Dil Ke Paas
Arjun Patiala,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/arjun-patiala-et00064800-07-11-2017-05-14-17.jpg,Arjun Patiala is a Hindi movie starring Diljith Dosanth and Kriti Sanon in prominent roles. It is a comedy drama produced by Dinesh Vijan.,N/A,N/A,3059,Arjun Patiala
Smile Please,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/smile-please-et00100333-05-04-2019-06-32-15.jpg,Smile Please is a Marathi movie starring Mukta Barve and Lalit Prabhakar in prominent roles. It is a drama directed by Vikram Phadnis.,N/A,N/A,13,Smile Please
Super 30,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/super-30-et00064569-03-11-2017-12-22-53.jpg,"Anand Kumar, a Mathematics genius from a modest family in Bihar who is made to believe that only a King's son can become a king is on a mission to prove that even the poor man can create some of the world's most genius minds. He starts a training program named 'Super 30' to help 30 IIT aspirants crack the entrance test and make them highly successful professionals.",N/A,N/A,13723,Super 30
Once Upon A Time In Hollywood,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/once-upon-a-time-in-hollywood-et00077261-08-06-2018-11-32-27.jpg,"The film tells the story of a TV actor and his stunt double who embark on a journey to make a name for themselves in 1969 Hollywood, during the Charles Manson murders.",N/A,N/A,4667,Once Upon A Time In Hollywood
Hobbs and Shaw,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/hobbs-and-shaw-et00074077-13-04-2018-11-38-02.jpg,"A spinoff of the Fate of the Furious, focusing on Johnson's US Diplomatic Security Agent Luke Hobbs forming an unlikely alliance with Statham's Deckard Shaw.",N/A,N/A,13635,Hobbs and Shaw
Stuber,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/stuber-et00089325-27-11-2018-12-47-03.jpg,"Stu, a mild-mannered Uber driver, picks up a passenger who turns out to be a cop in hot pursuit of a wanted criminal. The wildest ride of Stu`s cabbie career is about to begin, even as he desperately tries to hold onto his wits, his life and his five-star rating!",N/A,N/A,301,Stuber
The New Mutants,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/new-mutants-et00063623-13-10-2017-02-43-50.jpg,"After five young mutants who are held in a remote secret facility discover their abilities, they embark on a journey to save themselves.",N/A,N/A,5970,The New Mutants
Chase No Mercy to Crime,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/chase-no-mercy-to-crime-et00101106-18-04-2019-05-20-11.jpg,"Based on a true story, the plot revolves around a train robbery executed by a Jharkhand based father-son duo. How will the Bengal police capture the real mastermind who is also the master of disguise?",N/A,N/A,19,Chase No Mercy to Crime
Dora And The Lost City Of Gold,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/dora-and-the-lost-city-of-gold-et00099589-26-03-2019-10-50-02.jpg,"Though she has spent most of her life exploring the jungle and embracing adventures, nothing could have prepared Dora for the crazy world of high school. Along with a ragtag group of teens and her trusted sidekick Boots the Monkey, she embarks on an epic quest to rediscover a lost Incan civilization, while also trying to save her parents from impending trouble.",N/A,N/A,1563,Dora And The Lost City Of Gold
Kalki,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/kalki-2019-et00100916-16-04-2019-12-54-43.jpg,Kalki is a Malayalam movie starring Tovino Thomas in a prominent role. It is a drama directed by Praveen Prabharam.,N/A,N/A,207,Kalki
Artemis Fowl,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/artermis-fowl-et00089430-28-11-2018-11-59-39.jpg,"Disney's ""Artemis Fowl,"" based on the beloved book by Eoin Colfer, is a fantastical, spellbinding adventure that follows the journey of 12-year-old genius Artemis Fowl, a descendant of a long line of criminal masterminds, as he seeks to find his father who has mysteriously disappeared. With the help of his loyal protector Butler, Artemis sets out to find him, and in doing so uncovers an ancient, underground civilization-the amazingly advanced world of fairies. Deducing that his father's disappearance is somehow connected to the secretive, reclusive fairy world, cunning Artemis concocts a dangerous plan so dangerous that he ultimately finds himself in a perilous war of wits with the all powerful fairies.",N/A,N/A,2774,Artemis Fowl
Batla House,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/batla-house-et00075855-16-05-2018-12-23-04.jpg,"Based on the 2008 Delhi Batla House case, the crime thriller Batla House chronicles the police encounter and investigation of the case.",N/A,N/A,2794,Batla House
Made In China,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/made-in-china-et00080071-18-07-2018-06-45-17.jpg,A struggling Gujarati businessman heads to China in a quest for better prospects. Will his eventful journey full of ups and downs and misadventures eventually help him become a  successful entrepreneur?,N/A,N/A,1447,Made In China
Saaho,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/saaho-et00056595-28-04-2017-10-26-00.jpg,"Saaho is a multi-lingual movie starring Prabhas and Shraddha Kapoor in prominent roles. The cast also includes Neil Nitin Mukesh and Jackie Shroff. It is a drama directed by Sujeeth with Shankar Mahadevan, Ehsaan Noorani and Loy Mendonsa as the music composers, forming part of the crew.",N/A,N/A,72504,Saaho
