title,reldate,ageres,cover,plot,trailers,duration,likes,name
Nuvvu Thopu Raa,"03 May, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/nuvvu-thopu-raa-et00101190-22-04-2019-12-17-35.jpg,"Suri, a rebellious student who is irresponsible and raised by a single parent from Hyderabad, unexpectedly travels to US. How he takes control of the unforeseen situations and uses his street smartts to get his life back on track from an illegal immigrant status to a successful person forms the crux of Nuvvu Thopu Raa.",N/A,2 hrs 30 mins,0,Nuvvu Thopu Raa
Setters,"03 May, 2019",,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/setters-et00085745-06-10-2018-12-23-02.jpg,"An edge-of-the-seat thriller set in Benares, Jaipur, Mumbai and Delhi, Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop, and the other a ""setter"" who arranges brilliant students in place of weak students to appear in examinations.",N/A,N/A,0,Setters
Duppatlo Minnagu,"26 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/duppatlo-minnagu-et00101401-24-04-2019-02-05-25.jpg,Duppatlo Minnagu is a Telugu movie starring Chirashree Anchan and Naveen Thirthahalli in prominent roles. It is a drama directed by Yendamuri Veerendranath.,N/A,1 hrs 49 mins,21,Duppatlo Minnagu
Geetha Chalo,"Dec, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/geetha-chalo-et00101354-23-04-2019-02-07-47.jpg,"Geetha Chalo is a Telugu movie starring Ganesh, Rashmika Mandanna and Akshay Nayak in prominent roles. It is a drama directed & written by Narsimhaiah Sunil Kumar with Judah Sandhy as musician, forming part of the crew.",N/A,2 hrs 27 mins,0,Geetha Chalo
Danger Love Story,"26 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/danger-love-story-et00101402-24-04-2019-03-41-22.jpg,Danger Love Story is a Telugu movie starring Madhulagna Das and Khayyum Ali in prominent roles. It is a drama directed by ,N/A,1 hrs 56 mins,27,Danger Love Story
Okate Life,"03 May, 2019",,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/okate-life-et00101720-29-04-2019-01-52-48.jpg,Okate Life is a Telugu movie starring Jithan Ramesh and Shruti Yugal in prominent roles. It is a drama directed by M Venkat.,N/A,N/A,0,Okate Life
Total Dhamaal,"22 Feb, 2019",U ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/total-dhamaal-et00015976-18-12-2017-10-43-51.jpg,"A hidden loot of 500 million rupees sends a bunch of eccentric folks on a madcap misadventure, where they all vie to get their hands on the money. Among these are a bickering couple, two dim-witted siblings, some seasoned conmen, a greedy police officer and the mastermind of the loot itself. Will any of them actually hit the jackpot at the end of it all?",N/A,2 hrs 10 mins,"65,546",Total Dhamaal
Romeo Akbar Walter,"05 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/romeo-akbar-walter-et00055220-27-03-2017-12-51-54.jpg,"Romeo Akbar Walter (RAW) is a spy thriller that is set against the backdrop of the Indo-Pakistani War of 1971. The film, which is inspired by true events, is directed by Robby Grewal.",N/A,N/A,"18,655",Romeo Akbar Walter
Hellboy,"12 Apr, 2019",A ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/hellboy-et00099586-26-03-2019-10-53-05.jpg,"Based on the graphic novels by Mike Mignola, the film follows Hellboy - the beloved son of the Fallen One who is caught between the worlds of the supernatural and human. This time around, his formidable enemy is an ancient sorceress bent on revenge.",N/A,2 hrs 03 mins,"3,382",Hellboy
Vijayaratha ,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/vijayaratha-et00099887-30-03-2019-05-55-04.jpg,"Vijayaratha is a suspense thriller which follows a guy on a race against time to save a life, even as the world around him starts falling apart. Directed by Ajay Surya, the film stars Vasanth Kalyan and Arpitha Gowda in central roles.",N/A,N/A,422,Vijayaratha
