city,theatre,date,title,language,format,timings
hyderabad,"Cinepolis: Manjeera Mall, Kukatpally",2,2019-05-01,Avengers: Endgame,English,3D,10:30 PM
hyderabad,"Cinepolis: Mantra Mall, Attapur",2,2019-05-01,Avengers: Endgame,English,3D,05:10 PM
hyderabad,"Cinepolis: Mantra Mall, Attapur",3,2019-05-01,Avengers: Endgame,English,3D,06:10 PM
hyderabad,"Cinepolis: Mantra Mall, Attapur",1,2019-05-01,Avengers: Endgame,English,3D,09:00 PM
hyderabad,"Cinepolis: Mantra Mall, Attapur",1,2019-05-01,Avengers: Endgame,English,3D,10:00 PM
hyderabad,"Cinepolis: Mantra Mall, Attapur",2,2019-05-01,Avengers: Endgame,English,3D,10:50 PM
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad",1,2019-05-01,Avengers: Endgame,English,3D,05:10 PM
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad",2,2019-05-01,Avengers: Endgame,English,3D,06:10 PM
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad",2,2019-05-01,Avengers: Endgame,English,3D,09:00 PM
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad",2,2019-05-01,Avengers: Endgame,English,3D,10:00 PM
hyderabad,"INOX: GVK One, Banjara Hills",3,2019-05-01,Avengers: Endgame,English,3D,03:40 PM
hyderabad,"INOX: GVK One, Banjara Hills",3,2019-05-01,Avengers: Endgame,English,3D,05:20 PM
hyderabad,"INOX: GVK One, Banjara Hills",2,2019-05-01,Avengers: Endgame,English,3D,06:20 PM
hyderabad,"INOX: GVK One, Banjara Hills",2,2019-05-01,Avengers: Endgame,English,3D,09:00 PM
hyderabad,"INOX: GVK One, Banjara Hills",1,2019-05-01,Avengers: Endgame,English,3D,10:00 PM
hyderabad,INOX: Maheshwari,3,2019-05-01,Avengers: Endgame,English,3D,04:00 PM
hyderabad,INOX: Maheshwari,3,2019-05-01,Avengers: Endgame,English,3D,06:25 PM
hyderabad,INOX: Maheshwari,1,2019-05-01,Avengers: Endgame,English,3D,07:30 PM
hyderabad,INOX: Maheshwari,2,2019-05-01,Avengers: Endgame,English,3D,10:00 PM
hyderabad,INOX: Maheshwari,3,2019-05-01,Avengers: Endgame,English,3D,11:00 PM
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad",2,2019-05-01,Avengers: Endgame,English,3D,04:40 PM
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad",1,2019-05-01,Avengers: Endgame,English,3D,06:15 PM
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad",3,2019-05-01,Avengers: Endgame,English,3D,11:20 PM
hyderabad,Platinum Movietime: Gachibowli,1,2019-05-01,Avengers: Endgame,English,3D,04:00 PM
hyderabad,Platinum Movietime: Gachibowli,1,2019-05-01,Avengers: Endgame,English,3D,04:30 PM
hyderabad,Platinum Movietime: Gachibowli,2,2019-05-01,Avengers: Endgame,English,3D,06:30 PM
hyderabad,Platinum Movietime: Gachibowli,1,2019-05-01,Avengers: Endgame,English,3D,07:30 PM
hyderabad,Platinum Movietime: Gachibowli,2,2019-05-01,Avengers: Endgame,English,3D,08:00 PM
hyderabad,Platinum Movietime: Gachibowli,3,2019-05-01,Avengers: Endgame,English,3D,10:00 PM
hyderabad,Platinum Movietime: Gachibowli,3,2019-05-01,Avengers: Endgame,English,3D,11:00 PM
hyderabad,Platinum Movietime: Gachibowli,3,2019-05-01,Avengers: Endgame,English,3D,11:30 PM
hyderabad,Prasads: Hyderabad,1,2019-05-01,Avengers: Endgame,English,3D,06:45 PM
hyderabad,Prasads: Hyderabad,2,2019-05-01,Avengers: Endgame,English,3D,07:30 PM
hyderabad,Prasads: Hyderabad,2,2019-05-01,Avengers: Endgame,English,3D,10:15 PM
hyderabad,Prasads: Hyderabad,3,2019-05-01,Avengers: Endgame,English,3D,10:45 PM
