Acc,Cans,Kilograms,Fat,SNF,Date,Shift
949,4,136,6.9,8.7,2017-12-30,0
3680,8,309,8.2,8.9,2017-12-30,0
3536,1,39,6.6,8.3,2017-12-31,0
949,4,133,6.7,8.7,2017-12-31,0
457,2,48,4.0,8.2,2017-12-31,0
873,1,31,5.8,8.5,2017-12-31,0
460,1,8,5.8,8.6,2017-12-31,0
1725,1,10,5.8,8.6,2017-12-31,1
3680,7,256,8.4,9.0,2017-12-31,1
1516,1,35,6.2,8.6,2017-12-31,1
3516,2,52,6.0,8.6,2017-12-31,1
3665,7,251,3.1,8.5,2017-12-31,1
865,2,61,5.5,8.4,2017-12-31,1
2959,3,108,5.7,8.6,2017-12-31,1
786,1,13,4.0,8.2,2017-12-31,1
460,1,9,6.3,8.7,2017-12-31,1
925,1,27,5.2,8.2,2017-12-31,1
457,2,49,4.6,8.3,2017-12-31,1
873,2,57,5.8,8.6,2017-12-31,1
949,5,168,6.2,8.6,2017-12-31,1
3536,1,36,7.1,8.6,2017-12-31,1
786,1,16,3.6,8.2,2017-12-31,0
2959,2,57,5.2,8.5,2017-12-31,0
865,1,27,7.3,8.5,2017-12-31,0
3665,5,152,3.0,8.5,2017-12-31,0
925,2,46,4.9,8.2,2017-12-31,0
3516,1,40,6.8,8.2,2017-12-31,0
1516,1,36,6.1,8.6,2017-12-31,0
3680,6,215,8.5,9.0,2017-12-31,0
1725,1,15,6.1,8.6,2017-12-31,0
3536,2,52,4.8,8.6,2018-01-01,1
3680,7,259,8.3,9.0,2018-01-01,1
1516,2,66,6.2,8.4,2018-01-01,1
1516,1,35,6.0,8.4,2018-01-01,0
3516,2,52,6.1,8.6,2018-01-01,1
873,2,46,5.9,8.5,2018-01-01,1
3665,6,204,3.1,8.5,2018-01-01,1
2959,3,106,5.8,8.6,2018-01-01,1
1725,1,10,5.8,8.5,2018-01-01,1
871,1,30,5.7,8.4,2018-01-01,1
786,1,20,4.0,8.2,2018-01-01,1
460,1,12,6.3,8.7,2018-01-01,1
457,1,30,4.7,8.3,2018-01-01,1
865,2,56,6.5,8.4,2018-01-01,1
925,1,24,5.3,8.2,2018-01-01,1
949,5,190,6.7,8.7,2018-01-01,1
3680,3,107,8.5,9.0,2018-01-01,0
949,4,132,6.4,8.6,2018-01-01,0
3536,2,49,6.2,8.3,2018-01-01,0
457,2,49,4.3,8.1,2018-01-01,0
460,1,7,6.3,8.4,2018-01-01,0
786,1,17,4.2,8.2,2018-01-01,0
871,1,29,6.3,8.4,2018-01-01,0
925,2,46,5.0,8.2,2018-01-01,0
865,1,25,7.0,8.3,2018-01-01,0
3665,3,115,3.0,8.5,2018-01-01,0
873,1,34,5.9,8.5,2018-01-01,0
3516,1,40,5.7,8.5,2018-01-01,0
1725,1,15,5.2,8.5,2018-01-01,0
2959,2,47,5.2,8.5,2018-01-01,0
871,1,39,6.1,8.5,2018-01-02,1
457,2,49,3.0,8.2,2018-01-02,1
925,1,30,4.2,8.2,2018-01-02,1
460,1,13,6.5,8.6,2018-01-02,1
893,1,26,6.3,8.4,2018-01-02,1
786,1,30,4.7,8.3,2018-01-02,1
2959,3,115,5.5,8.5,2018-01-02,1
3665,9,321,3.1,8.5,2018-01-02,0
3665,11,401,3.0,8.4,2018-01-02,1
873,1,39,6.1,8.6,2018-01-02,1
3516,2,53,6.0,8.5,2018-01-02,1
1516,2,64,6.0,8.3,2018-01-02,1
3680,12,445,8.2,9.0,2018-01-02,1
3536,2,43,3.3,8.5,2018-01-02,1
865,2,49,6.0,8.6,2018-01-02,1
949,5,189,6.4,8.7,2018-01-02,1
2959,2,48,5.3,8.5,2018-01-02,0
3680,8,301,8.4,9.0,2018-01-02,0
949,3,105,6.9,8.6,2018-01-02,0
3536,1,39,7.0,8.2,2018-01-02,0
457,2,49,3.8,8.1,2018-01-02,0
925,2,47,5.1,8.1,2018-01-02,0
460,1,6,5.6,8.4,2018-01-02,0
893,1,19,6.5,8.2,2018-01-02,0
1725,1,16,6.6,8.6,2018-01-02,0
786,1,18,3.8,8.2,2018-01-02,0
1725,1,10,5.1,8.5,2018-01-02,1
865,1,15,5.6,8.5,2018-01-02,0
873,2,42,5.5,8.6,2018-01-02,0
3516,2,41,6.3,8.5,2018-01-02,0
1516,1,35,5.6,8.5,2018-01-02,0
871,1,25,6.9,8.4,2018-01-02,0
457,2,51,4.9,8.1,2018-01-03,0
3536,2,51,6.0,8.5,2018-01-03,0
786,1,28,4.5,8.2,2018-01-03,0
925,2,46,4.7,8.2,2018-01-03,0
949,4,122,6.2,8.6,2018-01-03,0
893,2,52,6.5,8.4,2018-01-03,0
873,2,51,6.3,8.5,2018-01-03,1
3665,6,238,3.0,8.4,2018-01-03,1
1725,1,10,5.5,8.5,2018-01-03,1
3680,7,258,8.4,8.9,2018-01-03,1
1516,2,62,6.2,8.5,2018-01-03,1
3516,2,60,5.8,8.7,2018-01-03,1
865,2,54,6.1,8.6,2018-01-03,1
2959,3,109,5.4,8.5,2018-01-03,1
871,1,34,5.5,8.5,2018-01-03,1
871,1,33,6.3,8.5,2018-01-03,0
893,1,28,6.3,8.5,2018-01-03,1
925,1,29,5.1,8.4,2018-01-03,1
786,1,31,4.4,8.2,2018-01-03,1
3536,2,47,6.5,8.8,2018-01-03,1
2959,2,62,5.4,8.5,2018-01-03,0
865,1,26,6.2,8.4,2018-01-03,0
3665,3,82,3.1,8.4,2018-01-03,0
457,2,41,4.4,8.2,2018-01-03,1
873,1,34,5.2,8.5,2018-01-03,0
1516,1,24,5.2,8.4,2018-01-03,0
3680,3,83,8.5,8.9,2018-01-03,0
1725,1,16,6.1,8.5,2018-01-03,0
949,5,169,6.6,8.6,2018-01-03,1
3516,1,35,5.7,8.5,2018-01-03,0
949,5,185,6.7,8.6,2018-01-04,1
3536,1,29,6.3,8.7,2018-01-04,1
457,2,54,4.1,8.2,2018-01-04,1
925,1,28,4.4,8.2,2018-01-04,1
460,1,12,5.6,8.4,2018-01-04,1
893,1,28,6.1,8.6,2018-01-04,1
1516,2,56,6.2,8.4,2018-01-04,1
871,1,31,5.6,8.4,2018-01-04,1
2959,3,119,5.5,8.5,2018-01-04,1
865,2,55,6.1,8.7,2018-01-04,1
3665,13,482,3.0,8.5,2018-01-04,1
873,1,26,6.2,8.5,2018-01-04,1
1725,1,18,5.9,8.5,2018-01-04,0
786,1,33,4.5,8.2,2018-01-04,1
3680,7,263,8.7,8.9,2018-01-04,0
925,2,44,4.8,8.1,2018-01-04,0
1516,2,41,6.0,8.4,2018-01-04,0
3516,1,21,7.0,8.5,2018-01-04,0
873,1,30,5.4,8.5,2018-01-04,0
3665,8,305,3.1,8.3,2018-01-04,0
865,1,21,6.4,8.5,2018-01-04,0
2959,2,55,4.9,8.4,2018-01-04,0
871,1,32,6.0,8.4,2018-01-04,0
786,1,27,4.2,8.2,2018-01-04,0
893,1,28,6.0,8.4,2018-01-04,0
460,1,7,5.5,8.7,2018-01-04,0
457,2,45,4.2,8.1,2018-01-04,0
3536,1,40,6.7,8.7,2018-01-04,0
949,4,124,6.1,8.6,2018-01-04,0
3680,12,448,8.6,8.9,2018-01-04,1
1725,1,10,5.5,8.6,2018-01-04,1
3516,2,77,5.4,8.6,2018-01-04,1
893,1,19,6.2,8.4,2018-01-05,0
871,1,25,4.9,8.3,2018-01-05,1
1725,1,10,5.7,8.6,2018-01-05,1
3680,9,351,8.9,8.9,2018-01-05,1
1516,2,72,5.8,8.5,2018-01-05,1
873,2,52,6.0,8.6,2018-01-05,1
3665,10,378,3.1,8.3,2018-01-05,1
865,2,57,6.2,8.6,2018-01-05,1
2959,3,118,5.3,8.5,2018-01-05,1
786,1,22,4.1,8.2,2018-01-05,1
893,1,29,6.2,8.7,2018-01-05,1
460,1,10,6.8,8.7,2018-01-05,1
925,1,40,5.0,8.2,2018-01-05,1
3536,2,53,6.2,8.8,2018-01-05,1
949,4,159,6.3,8.6,2018-01-05,1
457,2,49,4.1,8.1,2018-01-05,1
3680,6,215,8.9,8.9,2018-01-05,0
949,4,124,6.4,8.6,2018-01-05,0
3536,2,56,5.7,8.5,2018-01-05,0
457,2,50,4.4,8.1,2018-01-05,0
925,1,38,4.7,8.1,2018-01-05,0
1725,1,16,6.6,8.5,2018-01-05,0
786,1,32,5.2,8.1,2018-01-05,0
871,1,35,5.9,8.4,2018-01-05,0
460,1,7,5.3,8.6,2018-01-05,0
2959,2,52,4.9,8.5,2018-01-05,0
865,1,17,6.1,8.5,2018-01-05,0
3665,6,224,3.0,8.4,2018-01-05,0
873,1,31,5.2,8.5,2018-01-05,0
1516,1,37,5.8,8.4,2018-01-05,0
2959,3,117,5.5,8.5,2018-01-06,1
925,1,37,4.8,8.1,2018-01-06,1
460,1,13,7.0,8.8,2018-01-06,1
893,1,23,6.5,8.8,2018-01-06,1
786,1,22,4.3,8.2,2018-01-06,1
457,1,36,4.0,8.1,2018-01-06,1
865,2,61,6.5,8.6,2018-01-06,1
871,1,26,5.4,8.3,2018-01-06,1
873,2,51,6.3,8.5,2018-01-06,1
3516,2,69,5.7,8.7,2018-01-06,1
1516,2,69,6.1,8.4,2018-01-06,1
3680,7,250,9.0,8.9,2018-01-06,1
1725,1,10,5.8,8.6,2018-01-06,1
3536,2,59,6.2,8.6,2018-01-06,1
3665,9,353,3.0,8.3,2018-01-06,1
949,5,180,6.6,8.5,2018-01-06,1
2959,2,57,4.6,8.4,2018-01-06,0
3680,5,173,9.1,8.9,2018-01-06,0
1725,1,20,6.2,8.4,2018-01-06,0
3536,2,45,6.0,8.5,2018-01-06,0
457,2,50,4.1,8.1,2018-01-06,0
925,1,39,4.8,8.1,2018-01-06,0
460,1,8,5.2,8.6,2018-01-06,0
893,1,14,6.3,8.5,2018-01-06,0
786,1,30,5.2,8.2,2018-01-06,0
949,4,122,6.3,8.5,2018-01-06,0
865,1,21,6.8,8.5,2018-01-06,0
3665,7,244,3.2,8.3,2018-01-06,0
873,1,34,5.3,8.4,2018-01-06,0
3516,1,37,5.8,8.4,2018-01-06,0
1516,1,33,5.8,8.4,2018-01-06,0
871,1,13,5.9,8.3,2018-01-06,0
1725,1,10,5.9,8.4,2018-01-07,1
3536,2,58,6.1,8.5,2018-01-07,1
457,1,37,4.1,8.2,2018-01-07,1
925,1,31,4.8,8.2,2018-01-07,1
460,1,13,6.8,8.6,2018-01-07,1
893,1,25,6.2,8.7,2018-01-07,1
786,1,36,4.3,8.2,2018-01-07,1
3665,8,298,3.1,8.5,2018-01-07,1
2959,4,121,5.6,8.4,2018-01-07,1
865,2,52,6.4,8.6,2018-01-07,1
873,1,28,5.7,8.5,2018-01-07,1
3516,2,65,5.7,8.7,2018-01-07,1
3680,8,284,8.6,9.0,2018-01-07,1
949,5,174,6.6,8.6,2018-01-07,1
871,1,24,5.4,8.4,2018-01-07,1
1725,1,19,6.6,8.5,2018-01-07,0
1516,2,75,6.1,8.5,2018-01-07,1
1516,1,37,5.6,8.4,2018-01-07,0
3680,5,174,8.5,9.0,2018-01-07,0
3536,1,34,6.3,8.5,2018-01-07,0
457,2,48,4.0,8.1,2018-01-07,0
925,1,39,4.8,8.1,2018-01-07,0
460,1,8,6.3,8.5,2018-01-07,0
893,1,12,6.6,8.5,2018-01-07,0
949,4,124,6.3,8.5,2018-01-07,0
871,1,32,6.2,8.4,2018-01-07,0
2959,2,48,5.2,8.5,2018-01-07,0
865,1,18,7.2,8.5,2018-01-07,0
3665,5,189,3.0,8.4,2018-01-07,0
873,1,18,5.5,8.5,2018-01-07,0
3516,1,37,6.2,8.4,2018-01-07,0
786,1,29,4.9,8.2,2018-01-07,0
3536,1,38,6.5,8.8,2018-01-08,1
457,2,53,4.2,8.3,2018-01-08,1
925,1,39,4.8,8.3,2018-01-08,1
460,1,14,6.5,8.8,2018-01-08,1
893,1,28,6.1,8.8,2018-01-08,1
786,1,35,5.1,8.4,2018-01-08,1
873,2,46,6.1,8.7,2018-01-08,1
865,2,65,6.1,8.6,2018-01-08,1
3665,9,340,3.1,8.5,2018-01-08,1
3516,2,72,5.9,8.8,2018-01-08,1
1516,2,72,5.9,8.4,2018-01-08,1
949,4,149,6.6,8.7,2018-01-08,1
3680,8,295,8.5,9.0,2018-01-08,1
2959,3,114,5.6,8.7,2018-01-08,1
1725,1,20,6.3,8.5,2018-01-08,0
1725,1,10,5.5,8.6,2018-01-08,1
1516,1,40,5.9,8.5,2018-01-08,0
949,4,130,6.8,8.7,2018-01-08,0
3536,1,27,6.2,8.6,2018-01-08,0
457,1,27,4.6,8.2,2018-01-08,0
3680,4,150,8.6,9.0,2018-01-08,0
460,1,10,6.2,8.4,2018-01-08,0
893,1,19,6.1,8.6,2018-01-08,0
925,2,49,4.9,8.2,2018-01-08,0
2959,2,57,5.2,8.5,2018-01-08,0
865,1,23,7.4,8.6,2018-01-08,0
3665,5,197,3.0,8.5,2018-01-08,0
873,1,30,5.6,8.6,2018-01-08,0
3516,1,39,5.8,8.6,2018-01-08,0
786,1,32,6.2,8.2,2018-01-08,0
3536,2,66,5.6,8.5,2018-01-09,1
457,2,54,4.4,8.2,2018-01-09,1
925,1,30,4.5,8.2,2018-01-09,1
460,1,14,6.9,8.7,2018-01-09,1
893,1,30,6.2,8.6,2018-01-09,1
873,2,48,5.9,8.7,2018-01-09,1
871,1,34,5.4,8.5,2018-01-09,1
2959,4,124,5.3,8.6,2018-01-09,1
865,2,65,6.2,8.6,2018-01-09,1
3665,9,350,3.3,8.3,2018-01-09,1
949,5,193,6.7,8.8,2018-01-09,1
786,1,18,4.0,8.2,2018-01-09,1
1725,1,20,6.4,8.4,2018-01-09,0
865,1,20,7.0,8.6,2018-01-09,0
1516,1,35,5.8,8.4,2018-01-09,0
3516,1,39,5.9,8.5,2018-01-09,0
873,1,26,5.4,8.7,2018-01-09,0
3665,5,194,3.3,8.3,2018-01-09,0
949,4,125,6.7,8.8,2018-01-09,0
2959,2,48,5.8,8.7,2018-01-09,0
871,1,30,6.2,8.5,2018-01-09,0
786,1,35,5.0,8.2,2018-01-09,0
893,1,20,6.1,8.4,2018-01-09,0
460,1,9,5.8,8.5,2018-01-09,0
925,2,47,5.0,8.2,2018-01-09,0
457,2,49,4.5,8.1,2018-01-09,0
3536,1,17,3.5,8.3,2018-01-09,0
3680,5,161,8.8,8.9,2018-01-09,0
1516,3,82,6.0,8.4,2018-01-09,1
3516,2,68,6.1,8.6,2018-01-09,1
1725,1,10,6.3,8.5,2018-01-09,1
3680,8,294,8.7,9.0,2018-01-09,1
1725,1,10,5.7,8.7,2018-01-10,1
1516,2,75,6.1,8.4,2018-01-10,1
3516,2,61,6.0,8.8,2018-01-10,1
873,2,49,5.5,8.5,2018-01-10,1
865,2,58,6.4,8.7,2018-01-10,1
2959,3,105,5.3,8.5,2018-01-10,1
871,1,39,5.3,8.4,2018-01-10,1
786,1,38,4.3,8.1,2018-01-10,1
893,1,28,6.1,8.8,2018-01-10,1
460,1,14,6.3,8.9,2018-01-10,1
925,1,34,4.7,8.6,2018-01-10,1
457,2,54,3.8,8.1,2018-01-10,1
3536,2,73,5.2,8.7,2018-01-10,1
949,5,187,6.5,8.6,2018-01-10,1
1516,1,37,5.5,8.2,2018-01-10,0
3516,2,53,5.9,8.5,2018-01-10,0
873,1,28,5.1,8.3,2018-01-10,0
865,1,21,7.0,8.5,2018-01-10,0
2959,2,45,5.3,8.5,2018-01-10,0
871,1,28,6.0,8.1,2018-01-10,0
786,2,42,4.7,8.1,2018-01-10,0
893,1,18,5.9,8.5,2018-01-10,0
925,2,47,5.2,8.1,2018-01-10,0
457,2,51,4.4,8.0,2018-01-10,0
3536,1,5,4.4,8.1,2018-01-10,0
949,4,139,6.6,8.6,2018-01-10,0
1725,1,18,6.3,8.2,2018-01-10,0
460,1,9,5.8,8.5,2018-01-10,0
925,1,34,5.2,8.2,2018-01-11,1
949,4,121,6.9,8.8,2018-01-11,0
460,1,13,7.0,8.6,2018-01-11,1
893,1,29,6.1,8.5,2018-01-11,1
786,1,32,4.5,8.2,2018-01-11,1
871,1,37,5.9,8.4,2018-01-11,1
2959,3,120,5.7,8.5,2018-01-11,1
865,2,55,6.7,8.4,2018-01-11,1
3665,6,201,3.0,8.3,2018-01-11,1
873,2,46,5.9,8.5,2018-01-11,1
3516,2,69,6.5,8.7,2018-01-11,1
1516,2,75,6.4,8.5,2018-01-11,1
3680,3,82,8.7,8.9,2018-01-11,1
1725,1,10,6.0,8.6,2018-01-11,1
457,2,54,4.4,8.1,2018-01-11,1
3536,3,81,5.5,8.5,2018-01-11,1
949,5,171,6.6,8.8,2018-01-11,1
3680,2,63,8.6,8.9,2018-01-11,0
1516,1,37,5.6,8.4,2018-01-11,0
3516,2,50,6.3,8.4,2018-01-11,0
873,1,27,5.4,8.6,2018-01-11,0
3665,3,94,3.2,8.3,2018-01-11,0
865,1,22,7.4,8.5,2018-01-11,0
2959,2,58,5.5,8.6,2018-01-11,0
1725,1,18,3.8,8.5,2018-01-11,0
786,1,35,5.0,8.2,2018-01-11,0
3536,1,5,4.2,8.3,2018-01-11,0
457,2,53,4.5,8.1,2018-01-11,0
871,2,41,5.6,8.5,2018-01-11,0
460,1,4,5.2,8.4,2018-01-11,0
893,1,19,6.1,8.4,2018-01-11,0
925,2,46,5.1,8.2,2018-01-11,0
925,1,33,5.1,8.1,2018-01-12,1
460,1,8,6.5,8.7,2018-01-12,1
893,1,30,6.2,8.7,2018-01-12,1
786,1,32,4.6,8.2,2018-01-12,1
871,1,33,5.7,8.4,2018-01-12,1
2959,4,123,5.6,8.6,2018-01-12,1
865,2,69,6.5,8.4,2018-01-12,1
457,1,35,3.8,8.1,2018-01-12,1
3516,2,76,6.3,8.7,2018-01-12,1
1516,2,61,6.1,8.5,2018-01-12,1
3680,6,240,8.2,9.0,2018-01-12,1
1725,1,9,6.0,8.4,2018-01-12,1
3665,7,270,3.3,8.4,2018-01-12,1
873,2,57,6.3,8.5,2018-01-12,1
3536,3,81,6.3,8.5,2018-01-12,1
1725,1,20,6.4,8.4,2018-01-12,0
949,4,127,7.1,8.7,2018-01-12,0
3536,1,5,5.0,8.2,2018-01-12,0
457,2,50,4.6,8.1,2018-01-12,0
925,2,54,4.8,8.2,2018-01-12,0
949,5,188,7.0,8.8,2018-01-12,1
893,1,21,6.3,8.4,2018-01-12,0
786,1,38,5.3,8.2,2018-01-12,0
460,1,9,5.8,8.5,2018-01-12,0
2959,2,57,5.3,8.8,2018-01-12,0
865,1,20,6.9,8.4,2018-01-12,0
3665,5,200,3.3,8.4,2018-01-12,0
873,1,25,5.5,8.6,2018-01-12,0
3516,1,37,6.2,8.5,2018-01-12,0
3680,5,195,8.0,9.0,2018-01-12,0
871,1,34,5.2,8.2,2018-01-12,0
1516,1,32,5.8,8.4,2018-01-12,0
871,1,32,5.6,8.2,2018-01-13,0
949,4,129,6.7,8.6,2018-01-13,0
457,2,53,4.4,8.1,2018-01-13,0
925,2,56,4.8,8.1,2018-01-13,0
460,1,8,5.3,8.6,2018-01-13,0
893,1,19,6.5,8.5,2018-01-13,0
786,1,34,4.7,8.2,2018-01-13,0
2959,1,61,5.6,8.6,2018-01-13,0
3665,7,287,3.3,8.4,2018-01-13,0
865,1,19,7.0,8.4,2018-01-13,0
1725,1,10,7.2,8.4,2018-01-13,1
3680,7,279,8.5,9.0,2018-01-13,1
1516,2,71,6.5,8.4,2018-01-13,1
3516,2,69,5.8,8.7,2018-01-13,1
873,2,70,5.7,8.6,2018-01-13,1
3665,7,291,3.2,8.3,2018-01-13,1
865,2,54,7.1,8.5,2018-01-13,1
2959,4,122,5.8,8.6,2018-01-13,1
871,1,28,5.5,8.3,2018-01-13,1
949,5,179,7.1,8.5,2018-01-13,1
893,1,28,6.8,8.7,2018-01-13,1
460,1,14,7.2,8.6,2018-01-13,1
925,1,36,4.8,8.2,2018-01-13,1
457,1,24,4.6,8.1,2018-01-13,1
1725,1,20,6.5,8.5,2018-01-13,0
3680,6,211,8.3,9.0,2018-01-13,0
1516,1,34,5.2,8.3,2018-01-13,0
3516,2,41,6.3,8.4,2018-01-13,0
786,1,20,4.0,8.2,2018-01-13,1
873,1,25,5.1,8.5,2018-01-13,0
460,1,14,6.8,8.8,2018-01-14,1
893,1,27,6.4,8.3,2018-01-14,1
786,1,17,5.3,8.2,2018-01-14,1
871,1,33,5.6,8.2,2018-01-14,1
2959,4,123,5.9,8.5,2018-01-14,1
3516,2,60,5.8,8.6,2018-01-14,1
3665,7,246,3.4,8.5,2018-01-14,1
873,2,54,5.7,8.2,2018-01-14,1
925,1,37,4.9,8.1,2018-01-14,1
1516,2,54,5.8,8.3,2018-01-14,1
3680,8,315,7.8,9.0,2018-01-14,1
1725,1,10,5.6,8.5,2018-01-14,1
865,2,54,7.0,8.5,2018-01-14,1
457,1,25,4.4,8.1,2018-01-14,1
3516,1,40,5.8,8.5,2018-01-14,0
1725,1,20,6.5,8.3,2018-01-14,0
3680,7,275,7.6,9.0,2018-01-14,0
1516,1,32,5.6,8.4,2018-01-14,0
873,1,23,5.6,8.3,2018-01-14,0
3665,6,239,3.3,8.4,2018-01-14,0
865,1,21,6.4,8.3,2018-01-14,0
2959,2,61,5.5,8.5,2018-01-14,0
871,1,35,5.6,8.3,2018-01-14,0
893,1,20,6.5,8.4,2018-01-14,0
460,1,9,6.5,8.5,2018-01-14,0
925,2,51,4.6,8.2,2018-01-14,0
457,1,30,4.9,8.1,2018-01-14,0
949,3,117,7.0,8.5,2018-01-14,0
949,5,164,7.1,8.5,2018-01-14,1
786,1,29,5.0,8.2,2018-01-14,0
3516,2,58,6.7,8.5,2018-01-15,0
871,1,30,6.0,8.2,2018-01-15,1
1725,1,10,5.7,8.6,2018-01-15,1
1516,2,80,6.3,8.6,2018-01-15,1
3516,2,66,6.4,8.7,2018-01-15,1
873,2,59,6.1,8.6,2018-01-15,1
3665,5,198,3.2,8.3,2018-01-15,1
865,2,56,6.7,8.5,2018-01-15,1
2959,3,117,6.1,8.7,2018-01-15,1
786,1,32,5.1,8.2,2018-01-15,1
893,1,27,6.3,8.7,2018-01-15,1
460,1,14,7.0,8.8,2018-01-15,1
925,2,43,4.9,8.2,2018-01-15,1
3536,3,83,5.5,8.5,2018-01-15,1
949,5,183,7.4,8.5,2018-01-15,1
457,2,55,4.1,8.2,2018-01-15,1
1516,1,32,5.0,8.3,2018-01-15,0
949,4,151,6.7,8.6,2018-01-15,0
3536,1,5,4.0,8.2,2018-01-15,0
457,2,52,4.5,8.2,2018-01-15,0
925,2,58,5.0,8.2,2018-01-15,0
1725,1,19,6.3,8.4,2018-01-15,0
893,1,21,6.5,8.5,2018-01-15,0
786,1,31,4.8,8.2,2018-01-15,0
460,1,9,5.9,8.4,2018-01-15,0
871,1,40,5.6,8.2,2018-01-15,0
2959,1,7,5.4,8.6,2018-01-15,0
865,1,22,6.9,8.4,2018-01-15,0
3665,4,125,3.3,8.3,2018-01-15,0
873,1,26,5.7,8.5,2018-01-15,0
871,1,37,6.3,8.3,2018-01-16,1
457,2,51,4.0,8.1,2018-01-16,1
925,1,35,4.9,8.2,2018-01-16,1
893,1,27,6.6,8.7,2018-01-16,1
786,1,34,4.8,8.3,2018-01-16,1
3536,3,111,4.4,8.5,2018-01-16,1
2959,4,122,5.7,8.6,2018-01-16,1
865,2,55,6.8,8.5,2018-01-16,1
873,2,67,6.5,8.6,2018-01-16,1
3516,2,75,5.9,8.6,2018-01-16,1
1516,2,60,6.1,8.4,2018-01-16,1
3680,7,241,8.2,8.9,2018-01-16,1
1725,1,10,6.2,8.6,2018-01-16,1
949,5,184,7.2,8.6,2018-01-16,1
3665,7,256,3.4,8.5,2018-01-16,1
1725,1,20,6.2,8.3,2018-01-16,0
460,1,14,7.1,8.8,2018-01-16,1
1516,1,29,6.0,8.4,2018-01-16,0
3680,6,235,8.4,8.9,2018-01-16,0
3536,1,5,4.4,8.2,2018-01-16,0
457,1,30,4.7,8.1,2018-01-16,0
925,2,59,5.1,8.2,2018-01-16,0
460,1,9,6.0,8.5,2018-01-16,0
893,1,25,6.3,8.5,2018-01-16,0
786,1,36,5.0,8.2,2018-01-16,0
949,4,126,6.8,8.6,2018-01-16,0
2959,2,65,5.1,8.6,2018-01-16,0
865,1,19,6.7,8.5,2018-01-16,0
3665,7,245,3.3,8.5,2018-01-16,0
873,1,32,5.5,8.4,2018-01-16,0
3516,1,40,5.9,8.6,2018-01-16,0
871,1,34,5.4,8.2,2018-01-16,0
3680,8,315,7.8,8.9,2018-01-17,1
3536,3,98,6.5,8.4,2018-01-17,1
457,1,38,4.4,8.1,2018-01-17,1
925,1,40,5.0,8.2,2018-01-17,1
460,1,13,6.7,8.7,2018-01-17,1
893,1,27,6.4,8.5,2018-01-17,1
786,1,32,5.0,8.3,2018-01-17,1
865,2,58,6.8,8.5,2018-01-17,1
2959,4,121,5.6,8.6,2018-01-17,1
3665,6,235,3.2,8.4,2018-01-17,1
873,2,64,6.2,8.6,2018-01-17,1
3516,2,76,6.1,8.6,2018-01-17,1
1516,2,74,6.4,8.5,2018-01-17,1
877,3,42,8.6,8.6,2018-01-17,1
1725,1,10,5.9,8.6,2018-01-17,1
871,1,32,5.5,8.3,2018-01-17,1
949,5,196,7.2,8.6,2018-01-17,1
3665,7,251,3.3,8.4,2018-01-17,0
3680,7,264,7.8,9.0,2018-01-17,0
949,4,146,7.0,8.5,2018-01-17,0
877,2,42,3.2,8.3,2018-01-17,0
3536,1,5,4.4,8.2,2018-01-17,0
1725,1,20,6.6,8.5,2018-01-17,0
925,2,61,5.1,8.2,2018-01-17,0
460,1,9,6.1,8.4,2018-01-17,0
893,1,24,6.3,8.5,2018-01-17,0
457,2,47,4.4,8.1,2018-01-17,0
871,1,30,6.1,8.2,2018-01-17,0
2959,2,62,5.3,8.6,2018-01-17,0
865,1,20,6.9,8.3,2018-01-17,0
873,1,28,5.7,8.4,2018-01-17,0
3516,2,51,6.7,8.5,2018-01-17,0
1516,1,26,5.7,8.4,2018-01-17,0
786,1,34,4.7,8.2,2018-01-17,0
457,1,21,4.3,8.1,2018-01-18,1
871,1,27,5.6,8.2,2018-01-18,1
925,1,34,5.3,8.3,2018-01-18,1
460,1,14,7.1,8.9,2018-01-18,1
893,1,28,6.8,8.6,2018-01-18,1
786,1,32,4.5,8.2,2018-01-18,1
2959,3,116,5.8,8.6,2018-01-18,1
460,1,9,6.2,8.6,2018-01-18,0
3665,7,271,3.3,8.5,2018-01-18,1
873,2,61,6.3,8.6,2018-01-18,1
3516,2,75,5.9,8.7,2018-01-18,1
1516,2,68,6.3,8.4,2018-01-18,1
3680,7,243,8.5,9.0,2018-01-18,1
1725,1,10,5.6,8.6,2018-01-18,1
3536,2,66,6.3,8.5,2018-01-18,1
865,2,55,6.9,8.6,2018-01-18,1
949,5,195,7.1,8.7,2018-01-18,1
949,4,150,6.8,8.5,2018-01-18,0
3680,7,261,8.4,9.0,2018-01-18,0
1725,1,20,6.5,8.5,2018-01-18,0
3536,1,40,6.1,8.4,2018-01-18,0
457,2,56,4.8,8.1,2018-01-18,0
925,2,60,5.2,8.2,2018-01-18,0
786,1,37,5.1,8.2,2018-01-18,0
871,1,26,5.4,8.3,2018-01-18,0
893,1,25,6.3,8.3,2018-01-18,0
865,1,19,6.5,8.4,2018-01-18,0
3665,7,260,3.2,8.5,2018-01-18,0
873,1,29,5.4,8.5,2018-01-18,0
3516,2,49,6.6,8.4,2018-01-18,0
1516,1,30,5.6,8.2,2018-01-18,0
2959,2,70,5.1,8.5,2018-01-18,0
893,1,25,6.4,8.5,2018-01-19,1
3536,2,59,6.6,8.5,2018-01-19,1
457,2,58,4.1,8.1,2018-01-19,1
925,1,33,5.1,8.2,2018-01-19,1
460,1,11,7.5,8.7,2018-01-19,1
871,1,29,5.9,8.3,2018-01-19,1
