Acc,Cans,Kilograms,Fat,SNF,Date,Shift
457,2,43,4.4,8.2,2017-08-30,1
925,1,21,4.5,8.2,2017-08-30,1
893,1,23,6.7,8.5,2017-08-30,1
786,1,12,4.8,8.5,2017-08-30,1
3665,2,47,3.4,8.5,2017-08-30,1
865,1,31,6.3,8.7,2017-08-30,1
873,2,50,5.8,8.7,2017-08-30,1
3536,2,52,6.8,8.8,2017-08-30,1
2959,2,68,5.9,9.0,2017-08-30,1
949,2,59,6.8,8.9,2017-08-30,1
871,1,34,6.1,8.6,2017-08-30,1
873,2,65,5.0,8.7,2017-08-30,0
949,2,69,5.5,9.0,2017-08-30,0
3536,1,31,5.4,8.8,2017-08-30,0
457,2,57,4.6,8.2,2017-08-30,0
925,1,31,5.1,8.3,2017-08-30,0
893,1,31,6.1,8.5,2017-08-30,0
795,3,88,8.0,8.8,2017-08-30,0
871,2,67,5.7,7.8,2017-08-30,0
2959,1,37,6.5,8.9,2017-08-30,0
865,1,27,6.0,8.8,2017-08-30,0
3665,2,71,3.2,8.5,2017-08-30,0
786,1,9,5.0,8.4,2017-08-30,0
795,4,133,7.8,8.9,2017-09-01,1
873,2,52,5.9,8.6,2017-09-01,1
3665,3,107,3.2,8.4,2017-09-01,1
865,1,40,6.6,8.6,2017-09-01,1
2959,2,71,6.9,8.8,2017-09-01,1
871,1,35,6.3,8.5,2017-09-01,1
786,1,8,4.4,8.4,2017-09-01,1
893,1,27,7.0,8.6,2017-09-01,1
457,1,33,4.5,8.1,2017-09-01,1
3536,2,64,6.2,8.9,2017-09-01,1
925,1,19,4.8,8.3,2017-09-01,1
949,3,92,5.5,9.0,2017-09-01,0
795,3,110,8.0,8.9,2017-09-01,0
3536,1,31,5.9,8.9,2017-09-01,0
457,1,28,5.5,8.1,2017-09-01,0
925,1,31,5.3,8.3,2017-09-01,0
893,1,35,6.5,8.4,2017-09-01,0
949,2,55,6.8,8.9,2017-09-01,1
871,2,67,6.1,8.0,2017-09-01,0
2959,1,40,6.5,8.8,2017-09-01,0
865,1,26,6.4,8.6,2017-09-01,0
3665,3,105,3.4,8.4,2017-09-01,0
873,2,59,5.6,8.5,2017-09-01,0
786,1,8,6.0,8.4,2017-09-01,0
457,1,32,5.2,8.3,2017-09-02,1
925,1,20,4.7,8.0,2017-09-02,1
893,1,24,6.8,8.6,2017-09-02,1
786,1,14,5.4,8.3,2017-09-02,1
865,1,27,6.6,8.8,2017-09-02,1
2959,2,59,6.7,9.0,2017-09-02,1
3665,1,101,3.3,8.5,2017-09-02,1
873,2,55,5.7,8.6,2017-09-02,1
795,3,113,8.6,9.0,2017-09-02,1
871,1,35,6.3,8.8,2017-09-02,1
3536,2,63,6.1,8.9,2017-09-02,1
795,3,102,8.8,9.0,2017-09-02,0
873,2,65,5.3,8.6,2017-09-02,0
3536,1,36,5.4,9.0,2017-09-02,0
457,2,55,5.2,8.3,2017-09-02,0
925,1,32,5.5,8.2,2017-09-02,0
893,1,33,6.6,8.6,2017-09-02,0
949,3,81,5.8,8.9,2017-09-02,0
871,1,40,5.9,8.3,2017-09-02,0
2959,2,44,6.5,8.6,2017-09-02,0
865,1,29,6.4,8.5,2017-09-02,0
3665,3,97,3.2,8.4,2017-09-02,0
786,1,9,5.2,8.4,2017-09-02,0
949,2,68,6.6,9.0,2017-09-02,1
